reviewContent,Chất lượng sản phẩm,Hiệu năng & Trải nghiệm,Đúng mô tả,Giá cả & Khuyến mãi,Vận chuyển,Đóng gói,Dịch vụ & Thái độ Shop,Bảo hành & Đổi trả,Tính xác thực
"giày đúng như hình . so với giá tiền thì rất là tốt . tặng shop 5 sao nhé . tặng a giao hàng 5 sao chúc mọi người mạnh khỏe không ai bị f0 nữa , ăn têt vui vẻ nhé cả nhà","[-1,1]",2,1,1,1,2,1,2,2
"giày giống trong hình trông hơi bé nhưng đi lại vừa , anh síp nhanh",-1,1,"[-1,1]",2,1,2,2,2,2
tốt,1,2,2,2,2,2,2,2,2
hàng đẹp giao nhanh dung size đung mẫu sẽ ủng hộ shop nhiều shiper thái độ tốt cho shop 5 sao,1,1,0,2,1,2,1,2,2
"thấy giày đẹp , khá là giống hình , chưa sử dụng thử , hi vọng xài bền tí , nói chung là bề ngoài thì sản phẩm tốt lắm","[-1,1]",1,1,2,2,2,2,2,2
hàng chất lượng,1,2,2,2,2,2,2,2,2
giày chất da mịn đẹp,1,2,2,2,2,2,2,2,2
giày đẹp giống hình giá thành vậy thì rẻ đẹp còn chất lượng thì đi nhiều mới biết được lần sau sẽ ủng hộ shop tiếp,1,0,1,1,2,2,0,2,2
hàng đúng như hình . fdjkxbhjsjxhsbsiahaukdbxhiaindjxnjxiksnxjajdbxhchjdbdnkdoqjhshydifnbfhekjdbdhsndmsndbhagagsvhskjdnxnjdhdhwoksnxnx,"[-1,1]",2,1,2,2,2,2,2,2
giày đẹp nhưng e đặt lộn size rồi ạ shop có thể đổi không ạ,"[-1,1]",2,"[-1,1]",2,2,2,0,-1,2
sản phẩm tốt,1,2,2,2,2,2,2,2,2
hàng đẹp,1,2,2,2,2,2,2,2,2
đặt số 42 mà lại giao số 43,2,2,2,2,0,2,2,2,2
hàng tốt chất lượng tốt mọi người nên mua shiper vui tính . ghlbnklfdufsyjfdtyuydyugdyujkj,1,2,2,2,1,2,2,2,2
dep . nen mua,1,2,2,2,2,2,2,2,2
giày đúng với hình ảnh và rất đẹp còn giao hàng nhanh nữa nên cho shop 5 sao,1,1,1,2,1,2,1,2,2
tốt như jdjdjdudirjeiwiwowkwksodckfnfjfhfudisjwkwkozixurjrjfudiejdjdjedk,1,2,2,2,2,2,2,2,2
hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không,2,-1,"[-1,1]",2,2,2,2,-1,2
hàng tốt,1,2,2,2,2,2,2,2,2
hàng tốt,1,2,2,2,2,2,2,2,2
ưng ý lắm nha mọi người . nên mua nha mọi người oi . thấy cưng lắm,1,2,2,2,2,2,2,2,2
tốt . trong tầm giá,2,2,2,1,2,2,2,2,2
giày đẹp đúng size đúng mẫu,1,2,1,2,2,2,2,2,2
hàng như hình,-1,2,2,2,2,2,2,2,2
giày đẹp như trong hình nhưng cần đóng hộp cho lịch sự xíu,"[-1,1]",2,2,2,2,-1,2,2,2
hàng tạm được,0,2,2,2,2,2,2,2,2
"đã nhận được hàng . giầy đẹp , đúng size . cho shop 5",1,2,1,2,2,2,0,2,2
hàng đẹp giống như hình nên mua giao hàng nhiệt tình vui tính,"[-1,1]",2,1,2,1,2,1,2,2
giày thì đẹp nhưng mà đặt số 43 sao mang nó nhỏ thế shop,"[-1,1]",0,2,2,2,2,0,2,2
đã mua đôi thứ 2 ! rất hài lòng,1,2,2,2,2,2,2,2,2
hàng tốt phù hợp với giá tiền shiper thân thiện,1,1,2,1,1,2,2,2,2
chất liệu không như mong muốn,2,2,2,2,2,2,2,2,2
đổi eu rồi mà vẫn bị chật . tầm giá này nên tạm được,2,2,2,0,2,2,2,0,2
mọi người có ý định mua nên tăng thêm một kích cỡ . mình đi chọn số đều kích hơn bình thường,2,0,2,2,2,2,2,2,2
nói chung hàng đúng mẫu mã . nhung chất liệu cứng . tiền nào của đó,-1,2,1,0,2,2,2,2,2
đi cứng và đau chân,-1,-1,2,2,2,2,2,2,2
đặt màu đen lại gửi màu trắng quá tệ,2,2,0,2,2,2,-1,2,2
phần lót giày bằng giấy nên thấm nước nó bị rách và chỉ còn phần đế mang đau chân nhắn tin shop xem không trl,-1,-1,2,2,2,2,-1,2,2
sản phẩm bị rách đế,-1,2,2,2,2,2,2,2,2
mới mang 1 ngày đã bung đế,-1,0,2,2,2,2,2,2,2
các mảnh nam châm đảm bảo sự ổn định trong khi chơi . thiết kế mượt mà và phong cách . dễ dàng mang theo và thân thiện với du lịch . có nhiều kích cỡ khác nhau cho các sở thích khác nhau,1,1,2,2,2,2,2,2,2
"thật sự rất xứng đáng với số tiền bỏ ra , sản phẩm rất đẹp đặc biệt là với những người đam mê cờ vua như tui , giá cả hợp lí , tuy giao hàng có hơi chậm một chút nhưng không vấn đề gì , tổng thể : với những người chơi cờ vua thì sản phẩm này rất đáng mua","[-1,1]","[-1,1]",2,1,-1,2,2,2,1
giá cả : hợp lý chất lượng : ổn kích thước : mua loại vừa . mà nhìn nó mini quá . lần sau chắc phải mua cỡ lớn nhất,"[-1,1]",2,2,1,2,2,2,2,2
các mảnh nam châm đảm bảo sự ổn định trong khi chơi . dễ dàng mang theo và thân thiện với du lịch . thiết kế mượt mà và phong cách,1,1,2,2,2,2,2,2,2
dễ dàng mang theo và thân thiện với du lịch . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . có nhiều kích cỡ khác nhau cho các sở thích khác nhau,1,1,2,2,2,2,2,2,2
"bàn cờ đẹp . đóng gói cẩn thận . giao hàng tốt . nhưng khi mở bàn cờ thấy mấy bọc ni long chứa quân cờ bị rách , một quân cờ rớt nắp đít nhưng không sao . sản phẩm tốt . hài lòng . đáng mua","[-1,1]",2,2,2,1,"[-1,1]",2,2,2
hàng không bị móm méo giao hàng nhanh,-1,"[-1,1]",2,2,1,2,2,2,2
khá ổn bàn khá to đẹp nữa giao hàng nhanh nhưng hàng của mình bị gãy mất con tượng,"[-1,1]","[-1,1]",2,2,1,2,2,2,2
có nhiều kích cỡ khác nhau cho các sở thích khác nhau . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . hoàn hảo cho mục đích giáo dục,1,2,2,0,2,2,2,0,2
chất lượng : dởm kiểu dáng : xấu giá cả : phí giao hàng mắc độ bền : dễ hư độ an toàn : cũng độ bền : không bền tính di động : khôngcác mảnh nam châm đảm bảo sự ổn định trong khi chơi . có sẵn trong nhiều màu sắc hấp dẫn . mất miếng nam châm không hút được hư,"[-1,1]","[-1,1]",0,-1,0,2,2,2,2
có nhiều kích cỡ khác nhau cho các sở thích khác nhau . dễ dàng mang theo và thân thiện với du lịch,2,1,2,2,2,2,2,2,2
tuyệt vời cho sự gắn kết gia đình và những đêm chơi game . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc,1,1,2,2,2,2,2,2,2
shop uy tín . giao hàng đúng yêu cầu . nhanh chóng . chất lượng . như hình quảng cáo,"[-1,1]",1,1,2,1,2,1,2,2
sản phẩm so với mô tả : đúng mô tả . tuy nhiên bàn cờ vênh chỗ khớp nối . bé rất thích,0,2,"[-1,1]",2,2,2,2,2,2
shop gửi lại 1 con mất nam châm rồi nhé,-1,2,2,2,2,2,0,2,2
cám ơn shop nhé hằng tốt . hàng đẹp có nam châm bựa sau tối lại ghé mua thêm,1,2,2,2,2,2,1,2,2
quá ổn so với giá,2,2,2,0,2,2,2,2,2
"nhỏ gọn nhìn cưng lắm luôn , thuận tiện cho bé đem đi học . nam châm dính tốt , bé rất thích . cho shop 5 sao",1,1,2,2,2,2,1,2,2
"bộ cờ vua nam châm cao cấp . những quân cờ nam châm đảm bảo sự ổn định trong quá trình chơi . shop giao hàng nhanh , đóng gói cẩn thận . tặng shop 5 sao nhé",1,1,2,2,1,1,1,2,2
"bộ cờ đẹp , hút nam châm tốt , không bị xô lệch quân cờ , giá hợp lý","[-1,1]",2,2,1,2,2,2,2,2
độ bền : tốt yếu tố vui nhộn : hấp dẫn nên mua bé nhà rất thích . chơi vui,1,1,2,2,2,2,2,2,2
có sẵn trong nhiều màu sắc hấp dẫn . có nhiều kích cỡ khác nhau cho các sở thích khác nhau . thiết kế mượt mà và phong cách,1,1,-1,2,2,2,2,2,2
lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . có sẵn trong nhiều màu sắc hấp dẫn . những quân cờ nam châm đảm bảo sự ổn định trong quá trình chơi . có nhiều kích thước khác nhau để lựa chọn . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc,"[-1,1]",1,-1,2,2,2,2,2,2
tuyệt vời cho sự gắn kết gia đình và những đêm chơi game,2,1,2,2,2,2,2,2,2
hàng tốt vừa túi tiền ! khuyên mọi người nên mua nha,1,2,2,1,2,2,2,2,2
lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . tuyệt vời cho sự gắn kết gia đình và những đêm chơi game,1,1,2,2,2,2,2,2,2
tuyệt vời cho sự gắn kết gia đình và những đêm chơi game . bộ cờ vua nam châm chất lượng cao,1,1,2,2,2,2,2,2,2
"về hình thức "" giống quảng cáo chất lượng : tốt đóng gói kĩ lưỡng shop nhiệt tình vui vẻ cho shop 5 sao sẽ quay lại ủng hộ tiếp hình ảnh mang tính chất nhận xu",1,1,1,2,2,1,1,2,2
"bộ cờ vua cỡ vừa , có nam châm . dùng cho các cháu luyện tập , giải trí . giúp nâng cao giá trị giáo dục . các cháu rất thích",1,1,2,0,2,2,2,2,-1
"shop 10 điểm nha , shop giao thiếu mình 2 con mã xong mình nhắn thì shop giao lại cho mình hàng giống hình nhé , cskh thì cho 10 điểm",-1,0,"[-1,1]",2,0,2,0,2,2
"shop giao đúng mẫu quảng cáo , đúng loại đã đặt , bàn cờ đẹp , nam châm hút tốt . shop đóng gói kĩ , giao hàng nhanh",1,1,1,2,1,1,1,2,2
những quân cờ nam châm đảm bảo sự ổn định trong quá trình chơi . phù hợp cho người chơi ở mọi trình độ,1,1,2,2,2,2,2,2,2
"sử dụng tốt nhé , có điều màu sơn đen trắng của bàn cờ dễ trầy xước , mua về đã thấy có một vết rồi",1,1,0,2,2,2,2,2,2
các mảnh nam châm đảm bảo sự ổn định trong khi chơi . thiết kế mượt mà và phong cách . dễ dàng mang theo và thân thiện với du lịch . có nhiều kích cỡ khác nhau cho các sở thích khác nhau,1,1,2,2,2,2,2,2,2
giao hàng nhanh . đóng gói cẩn thận . hàng đúng như hình . giá đỡ chắc chắn vừa vặn với máy của mình là 16inch,"[-1,1]",1,1,0,1,1,2,2,2
"vật liệu nhôm chắc chắn , dễ dàng gấp và cất giữ , chiều cao có thể điều chỉnh rất tiện lợi , phù hợp với nhiều kích cỡ laptop khác nhau , giao hàng nhanh chóng",1,1,2,2,1,2,2,2,2
"vật liệu nhôm chắc chắn , di động và nhẹ , chiều cao có thể điều chỉnh rất tiện lợi",1,1,2,2,2,2,2,2,2
"shop giao hàng nhanh và đóng gói cẩn thận . hàng giao đúng chuẩn như đã quảng cáo , sẽ ủng hộ shop nếu có nhu cầu",-1,1,1,2,1,1,1,2,2
"di động và nhẹ , dễ dàng gấp và cất giữ , vật liệu nhôm chắc chắn , giá trị tuyệt vời cho giá cả",1,1,2,1,2,2,2,2,2
"tiết kiệm không gian trên bàn , dễ dàng gấp và cất giữ , giá trị tuyệt vời cho giá cả , cho shop 5 sao nha",2,2,2,1,2,2,1,2,2
"đã nhận hàng đủ số lượng . hàng đúng như quảng cáo và đúng như mô tả . nhỏ gọn dễ dàng đem theo , chắc chắn","[-1,1]",2,"[-1,1]",2,2,2,2,2,2
"chiều cao có thể điều chỉnh rất tiện lợi , giao hàng nhanh chóng",1,1,2,2,1,2,2,2,2
"vật liệu nhôm chắc chắn , hiệu quả làm mát tốt , dễ dàng gấp và cất giữ , giao hàng nhanh chóng , hiệu quả an toàn",1,1,2,2,1,2,2,2,2
ảnh nhận xu nhưng hàng thì tốt,"[-1,1]",2,2,2,2,2,2,2,2
"chất lương tốt , đúng như mô tả","[-1,1]",2,1,2,2,2,2,2,2
"vật liệu nhôm chắc chắn , phù hợp với nhiều kích cỡ laptop khác nhau , chiều cao có thể điều chỉnh rất tiện lợi",1,1,2,2,2,2,2,2,2
"di động và nhẹ , khá chắc chắn , cứng cáp","[-1,1]",-1,2,2,2,2,2,2,2
"shop giao đúng loại , giá đỡ chân đế nhôm hơi mỏng còn lại tốt . cảm ơn shop","[-1,1]",2,1,1,1,2,1,2,2
"hàng mỏng manh lỏng lẻo , chân chống khá trơn trượt . cảm giác như chất liệu bằng nhựa cứng chứ không phải là nhôm",-1,2,2,0,2,2,2,2,2
"giao hàng nhanh chóng , dịch vụ người bán tốt , chất lượng tốt , rất hài lòng",1,1,2,2,1,2,1,2,2
"chiều cao có thể điều chỉnh rất tiện lợi , phù hợp với nhiều kích cỡ laptop khác nhau",2,1,2,2,2,2,2,2,2
"tiện lợi , nhiều mức điều chỉnh , giao hàng nhanh , tuyệt vời ạ",1,1,2,2,1,2,2,2,2
"rất khuyến khích miếng dán màn hình này , vừa vặn hoàn hảo cho máy tính xách tay của tôi , giữ màn hình của tôi sạch sẽ và rõ ràng",1,1,1,2,2,2,2,0,2
"shop chuyển hàng siêu nhanh luôn , đóng gói hàng thì rất kỹ",0,1,2,2,1,0,0,2,2
màn hình tự dán hơi khó xíu . 14inch vừa khít màn hình trong của máy . dán đang bị lệch nên bạn nào tự dán nhớ cố định kĩ hơn,-1,2,2,2,2,2,2,2,2
"giao hàng nhanh , đóng gói tốt , rất khuyến khích miếng dán màn hình này , giữ màn hình của tôi sạch sẽ và rõ ràng",1,1,2,2,1,1,2,2,2
"hàng mua được giá tốt , đóng gói cẩn thận , nhận cũng nhanh , cảm ơn shop",1,1,2,1,1,1,1,2,2
"miếng dán màn hình tuyệt vời ! phù hợp hoàn hảo với laptop của tôi , shop đóng gói cẩn thận",1,2,2,2,2,1,1,0,2
sản phẩm tốt như mong đợi xứng với giá tiền giao hàng nhanh tặng shop năm sao lần sau có dịp sẽ ủng hộ shop tiếpmiếng dán màn hình tuyệt vời ! bảo vệ màn hình laptop của tôi tốt,"[-1,1]",1,2,1,1,2,1,2,2
"chống trầy xước và chống bụi , shop đóng gói cẩn thận , tiện lợi khi sử dụng",2,"[-1,1]",2,2,2,1,1,2,2
"chất liệu : miếng dán mình thấy tốt , mà mua không đúng size nên chưa dán , nếu ai cần mua thì nói mình pas lại cho , còn nguyên seal lun","[-1,1]",2,1,2,2,2,2,2,2
"máy này nó có bảo hành không . tự nhiên nó hở màn hình chắc là pin bị phù , cái máy cũ lúc trước còn cục pin cũ , cha đem xuống con thấy nha",2,-1,2,2,2,2,2,-1,2
"sản phẩm đúng mô tả , nhưng không có nghề nên dán không đẹp , dễ bị bụi , không biết cách lấy bụi nên làm 1 xíu là hết xài được . khéo tay lắm mới dán được loại không đúng khổ cần phải cắt","[-1,1]",-1,1,2,2,2,2,2,2
"sản phẩm đúng mô tả , tuy nhiên không có nghề nên hơi khó dán , nếu dân loại đúng khổ thì dễ , sai khổ phải cắt thì khó lắm , thường là cắt không đẹp . dễ bị bụi","[-1,1]",2,"[-1,1]",2,2,2,2,2,2
"chống trầy xước và chống bụi , dễ dàng sử dụng và tháo gỡ , dễ dàng sử dụng và tháo gỡ",2,"[-1,1]",2,2,2,2,2,2,2
oh,2,2,2,2,2,2,2,2,2
oh,2,2,2,2,2,2,2,2,2
"bảo vệ màn hình tuyệt vời ! rất khuyến khích miếng dán màn hình này , vật liệu chất lượng cao , giá trị tuyệt vời cho giá cả , giữ màn hình của tôi sạch sẽ và rõ ràng , vừa vặn hoàn hảo cho máy tính xách tay của tôi , vật liệu chất lượng cao , rất khuyến khích miếng dán màn hình này",1,1,1,1,2,2,2,0,2
giao hàng nhanh chóng đúng mẫu chất lượng shiper thân thiện nữa,1,1,1,2,1,2,2,2,2
giao hàng nhanh chóng đúng mẫu chất lượng shiper thân thiện nữa,1,1,1,2,1,2,2,2,2
"chất liệu chất lượng cao , giữ màn hình sạch sẽ và rõ nét",1,1,2,2,2,2,2,2,2
tính năng : tốt chất lượng : chưa biết chất liệu : tốt,"[-1,1]",2,2,2,2,2,2,2,2
miếng dán khá trong và ổn,1,2,2,2,2,2,2,2,2
tốt tốt gvjhxgjcxgvcxdfghgvcfgvf,1,2,2,2,2,2,2,2,2
"giao hàng nhanh , đóng gói tốt",1,1,2,2,1,1,2,2,2
"gioa hang nhah đăt hôm qa nay đã nhan được hàng , mình chư bk dán nên dán vẫn nổi bong bong nhưng nói chung hàng ổn hơn mong đoi","[-1,1]",2,2,2,2,2,2,2,2
"sản phẩm tốt , bao bì cẩn thận , hợp giá tiền nên sử dụng để có được ý kiến khách quan . chăm sóc chu đáo",1,1,2,1,2,1,2,2,2
"chất lượng tốt , mua 2 miếng . dán miếng đầu do chưa có kinh nghiệm nên bị bong bóng quá trời . đành gỡ ra bỏ luôn , dán miếng thứ 2 thì có tham khảo youtube cách dán rồi nên đỡ hơn . tuy nhiên ở phần góc màn hình mình dán vẫn chưa được mướt lắm , nhưng tổg thể thì tạm","[-1,1]",2,2,2,2,2,2,2,2
giao đúng sản phẩm mọi người yên tâm mua hàng nha,0,2,1,2,0,2,2,2,2
"shop đóng gói quá chắc chắn , miếng dán rất tốt , dễ dán , quá ngon trong tầm giá , cảm ơn shop",1,2,2,1,2,1,1,2,2
tốt,1,2,2,2,2,2,2,2,2
"hàng như hình , shop uy tín giao đủ hàng chất lượng , hàng như hình , shop uy tín giao đủ hàng chất lượng hàng như hình , shop uy tín giao đủ hàng chất lượng","[-1,1]",2,2,2,0,2,1,2,2
"hàng chất lượng mà giá rẻ nha , giao hàng hơi bị nhanh lun",1,"[-1,1]",2,1,1,2,2,2,2
tính năng : không vừa màn hình . nên dán hư hết . làm bỏ hết trơn,-1,2,2,2,2,2,2,2,2
functionality : quá tệ quality : tệ material : tệ,-1,2,2,2,2,2,2,2,2
"dễ dàng áp dụng và loại bỏ , bảo vệ màn hình tuyệt vời ! rất khuyến khích miếng dán màn hình này , giao hàng nhanh , đóng gói tốt",1,1,2,2,1,1,2,2,2
tốt,1,2,2,2,2,2,2,2,2
đón gói kĩ . đảm bảo chất lượng . vận chuyển nguyên hàng . có cả hướng dẫn . uy tín 5 sao,"[-1,1]",2,2,2,0,2,1,2,2
tiền nào của nấy . dán vào thì bị mất tính năng rõ nét của màn hình oled nha . dán để chống trầy thì được,-1,"[-1,1]",2,0,2,2,2,2,2
giao hành rất nhanh chóng đóng gói rất cẩn thận dán vừa với màn hình máy tính,0,1,2,2,1,1,2,2,2
miếng dán bị gập nên khi dán không thể đẹp được . trong khi đó mình mua cả giao hàng là 51k,"[-1,1]",2,2,2,0,2,2,2,2
giao hàng nhanh đóng gói kĩ sẽ mua cho nhungex lần sau dán vào cũng dễ giá rẻ nên mua nha mọi người,0,1,2,1,1,0,2,2,2
"shop bán hàng có tâm , điều này thể hiện qua việc gói hàng rất cẩn thận 5 sao là điều chắc chắn tính năng : rất tốt chất lượng : tốt chất liệu : tạm được mình không biết dán nhưng mà loay hoay mãi cũng khá là tốt","[-1,1]",1,2,2,2,1,1,2,2
"tính năng : miếng dán ghi 15 , 6 "" nhưng dán vô laptop mình thì lại thiếu khoảng 0 , 5cm . khó dán",-1,2,2,2,2,2,2,2,2
